catalog_id,title,priority,reason
78,배틀동전판치기,normal,User retained thumbnail
79,배틀오목,lower,User deleted thumbnail
80,보글보글,normal,User retained thumbnail
81,보글보글2,normal,User retained thumbnail
82,부루마불2007,normal,User retained thumbnail
83,북천항해기2,normal,User retained thumbnail
85,블레이드마스터2,normal,User retained thumbnail
86,사이버포뮬러2,normal,User retained thumbnail
87,삼국장군전,lower,User deleted thumbnail
88,삼국쟁패2-전사편,normal,User retained thumbnail
91,삼국축구대전,lower,User deleted thumbnail
93,생과일 타이쿤 파이널,normal,User retained thumbnail
94,생존일기,normal,User retained thumbnail
95,서든어택,lower,User deleted thumbnail
97,세븐스소드,normal,User retained thumbnail
98,셔터-영혼의울림,lower,User deleted thumbnail
99,소울카드마스터2,normal,User retained thumbnail
297,슈렉3,lower,User deleted thumbnail
100,슈퍼리얼테니스,lower,User deleted thumbnail
102,스노우브라더스2,lower,User deleted thumbnail
103,스도쿠 넘버홀릭,lower,User deleted thumbnail
104,스맥다운VS로우,lower,User deleted thumbnail
106,시네마 타이쿤,normal,User retained thumbnail
107,신시티2,lower,User deleted thumbnail
108,심시티,lower,User deleted thumbnail
110,아르덴전기,normal,User retained thumbnail
114,액션퍼즐패밀리,normal,User retained thumbnail
115,액션히어로3D,normal,User retained thumbnail
116,어스토니시아 스토리,normal,User retained thumbnail
117,얼음낚시,lower,User deleted thumbnail
119,에픽크로니클2,normal,User retained thumbnail
118,에픽크로니클PE,normal,User retained thumbnail
120,엑스맨3,lower,User deleted thumbnail
121,엘즈웨어,normal,User retained thumbnail
122,열혈교사전설2,normal,User retained thumbnail
123,영어뇌습격,lower,User deleted thumbnail
126,영웅서기 제로-진홍의 사도,normal,User retained thumbnail
124,영웅서기1-솔티아의 바람,normal,User retained thumbnail
129,영웅전설3-하얀마녀,normal,User retained thumbnail
131,우당탕탕헤어샵2,normal,User retained thumbnail
132,웃찾사 맞고,lower,User deleted thumbnail
133,원더즈-영웅의길,normal,User retained thumbnail
134,월드크래프트,normal,User retained thumbnail
135,이노티아연대기1,normal,User retained thumbnail
136,이노티아연대기2,normal,User retained thumbnail
137,이누야샤,lower,User deleted thumbnail
140,인형뽑기 타이쿤,normal,User retained thumbnail
142,장금이의 꿈,normal,User retained thumbnail
143,전국호텔왕 PLUS,lower,User deleted thumbnail
144,전설의 마법학교2,normal,User retained thumbnail
440,정무문2,lower,User deleted thumbnail
441,정무문3,lower,User deleted thumbnail
146,정통맞고2007,incompatible-skip,Previously classified incompatible; testing stopped
147,졸라맨액션학원,lower,User deleted thumbnail
419,주타이쿤2,lower,User deleted thumbnail
148,지상렬 신맞고,lower,User deleted thumbnail
424,지크,normal,User retained thumbnail
149,질주쾌감 스케쳐,normal,User retained thumbnail
150,질풍노도 십칠대일,normal,User retained thumbnail
151,짜요짜요 타이쿤1,normal,User retained thumbnail
152,짜요짜요 타이쿤2,normal,User retained thumbnail
435,짜요짜요 타이쿤4,normal,User retained thumbnail
431,창세기전 크로우2,normal,User retained thumbnail
155,초밥의달인3,normal,User retained thumbnail
156,추억의달고나 뽀끼뽀끼,lower,User deleted thumbnail
157,치킨타이쿤,lower,User deleted thumbnail
158,카우스블레이드,normal,User retained thumbnail
165,컴투스 삼국지-촉,normal,User retained thumbnail
159,컴투스맞고2006,lower,User deleted thumbnail
161,컴투스사커2006,normal,User retained thumbnail
162,컴투스포춘골프 3D,lower,User deleted thumbnail
408,코에이 삼국지 영걸전,incompatible-skip,Previously classified incompatible; testing stopped
164,코에이 삼국지2,normal,User retained thumbnail
166,쿠키하우스,normal,User retained thumbnail
167,크로스워드,normal,User retained thumbnail
170,크아비엔비2007,normal,User retained thumbnail
172,타운스토리 신대륙편,normal,User retained thumbnail
173,타워크래프트,lower,User deleted thumbnail
54,탁재훈 신맞고2007,lower,User deleted thumbnail
174,테트리스2006,normal,User retained thumbnail
176,트랜스포머,lower,User deleted thumbnail
177,티어즈 오브 메탈,normal,User retained thumbnail
178,판타지포에버2,normal,User retained thumbnail
179,팝픈뮤직,normal,User retained thumbnail
180,페노아전기2,normal,User retained thumbnail
181,폴라폴리2007,normal,User retained thumbnail
407,푸시푸시 삼국지,normal,User retained thumbnail
182,프리스타일 어택,normal,User retained thumbnail
184,피자타이쿤,normal,User retained thumbnail
185,피자타이쿤2,normal,User retained thumbnail
186,피파07,lower,User deleted thumbnail
187,하베스트 타이쿤,normal,User retained thumbnail
188,한게임 신맞고,lower,User deleted thumbnail
190,해적왕2007,lower,User deleted thumbnail
191,헬로우닌자,lower,User deleted thumbnail
192,헬싱,incompatible-skip,Previously classified incompatible; testing stopped
195,화장빨인생,normal,User retained thumbnail
112,알바전설 편의점2,incompatible-skip,Previously classified incompatible; already absent from thumbnail review
